OBS_DATE,FEDRATE,RU3000,UNRATE,CPBT,CAB,CPI,GDP,DGORDER,FEDRATE_PCH,RU3000_PCH,UNRATE_PCH,CPBT_PCH,CAB_PCH,CPI_PCH,GDP_PCH,DGORDER_PCH
1954-10-01,1.28,,5.00,25.30,,26.77,2609.30,,20.75,,-18.03,,,,,
1955-01-01,1.35,,4.60,28.40,,26.79,2683.80,,5.47,,-8.00,11.69,,,48.75,
1955-04-01,1.64,,4.20,28.80,,26.71,2727.50,,21.48,,-8.70,1.41,,#N/A,-43.70,
1955-07-01,2.18,,4.10,29.60,,26.85,2764.10,,32.93,,-2.38,2.58,,#N/A,-17.91,
1955-10-01,2.48,,4.20,30.80,,26.87,2780.80,,13.76,,2.44,4.26,,-75.12,-56.36,
1956-01-01,2.50,,4.20,30.20,,26.89,2770.00,,0.81,,0.00,-2.97,,-299.75,-162.50,
1956-04-01,2.71,,4.30,31.10,,27.15,2792.90,,8.40,,2.38,2.29,,-450.87,-326.67,
1956-07-01,2.95,,3.90,29.80,,27.35,2790.60,,8.86,,-9.30,-4.86,,41.62,-108.82,
1956-10-01,2.94,,4.20,31.40,,27.63,2836.20,,-0.34,,7.69,5.50,,-50.61,-2333.33,
1957-01-01,2.96,,3.70,31.70,,27.86,2854.50,,0.68,,-11.90,1.49,,-0.61,-61.19,
1957-04-01,3.00,,4.30,30.40,,28.11,2848.20,,1.35,,16.22,-4.22,,78.92,-134.62,
1957-07-01,3.47,,4.40,29.70,,28.32,2875.90,,15.67,,2.33,-2.11,,-1.07,-544.44,
1957-10-01,2.98,,5.20,27.30,,28.47,2846.40,,-14.12,,18.18,-8.22,,-78.01,-200.00,
1958-01-01,1.20,,6.70,23.60,,28.87,2772.70,,-59.73,,28.85,-13.43,,348.94,150.00,
1958-04-01,0.93,,7.30,24.00,,28.91,2790.90,,-22.50,,8.96,1.72,,-23.04,-126.00,
1958-07-01,1.76,,7.10,26.60,,28.91,2855.50,,89.25,,-2.74,11.38,,-85.83,269.23,
1958-10-01,2.42,,6.20,30.00,,28.97,2922.30,,37.50,,-12.68,13.70,,-100.00,1.04,
1959-01-01,2.80,,5.60,32.00,,28.97,2976.60,,15.70,,-9.68,6.12,,#N/A,-20.62,
1959-04-01,3.39,,5.00,34.70,,29.11,3049.00,,21.07,,-10.71,8.83,,#N/A,31.17,
1959-07-01,3.76,,5.50,31.40,,29.25,3043.10,,10.91,,10.00,-9.77,,99.31,-107.92,
1959-10-01,3.99,,5.30,30.80,,29.41,3055.10,,6.12,,-3.64,-2.02,,-17.24,-300.00,
1960-01-01,3.84,,5.40,33.70,0.26,29.41,3123.20,,-3.76,,1.89,10.11,#N/A,-119.89,475.00,
1960-04-01,3.32,,5.40,31.40,0.39,29.61,3111.30,,-13.54,,0.00,-7.48,51.60,-600.57,-116.30,
1960-07-01,2.60,,5.50,30.10,0.61,29.61,3119.10,,-21.69,,1.85,-4.04,56.78,-60.23,-166.67,
1960-10-01,1.98,,6.60,29.10,0.82,29.81,3081.30,,-23.85,,20.00,-4.02,33.74,199.32,-580.00,
1961-01-01,2.02,,6.90,28.50,0.91,29.84,3102.30,,2.02,,4.55,-1.80,10.84,-100.00,-156.25,
1961-04-01,1.73,,6.90,30.00,0.65,29.84,3159.90,,-14.36,,0.00,5.89,-28.39,#N/A,181.48,
1961-07-01,1.88,,6.70,31.60,0.59,29.98,3212.60,,8.67,,-2.90,5.57,-8.61,#N/A,-10.53,
1961-10-01,2.33,,6.00,33.90,0.57,30.01,3277.70,,23.94,,-10.45,7.82,-3.58,-80.11,22.06,
1962-01-01,2.85,,5.60,34.40,0.43,30.17,3336.80,,22.32,,-6.67,-1.69,-24.22,99.78,-10.84,
1962-04-01,2.68,,5.50,34.40,0.69,30.21,3372.70,,-5.96,,-1.79,-0.51,59.78,99.56,-40.54,
1962-07-01,2.90,,5.60,35.40,0.63,30.42,3404.80,,8.21,,1.82,3.10,-9.09,-0.44,-11.36,
1962-10-01,2.93,,5.50,36.20,0.48,30.38,3418.00,,1.03,,-1.79,1.51,-24.26,-50.22,-58.97,
1963-01-01,2.98,,5.70,35.90,0.54,30.51,3456.10,,1.71,,3.64,-0.49,13.39,-50.11,181.25,
1963-04-01,2.99,,5.60,37.80,0.76,30.61,3501.10,,0.34,,-1.75,6.13,40.18,199.67,17.78,
1963-07-01,3.48,,5.50,38.80,0.63,30.72,3569.50,,16.39,,-1.79,2.65,-16.59,66.12,50.94,
1963-10-01,3.38,,5.50,39.70,0.82,30.88,3595.00,,-2.87,,0.00,2.43,30.24,-20.43,-63.75,
1964-01-01,3.43,,5.40,42.90,1.14,30.94,3672.70,,1.48,,-1.82,5.04,38.05,-50.22,206.90,
1964-04-01,3.50,,5.20,42.80,0.90,31.01,3716.40,,2.04,,-3.70,0.00,-21.19,-50.11,-46.07,
1964-07-01,3.45,,5.10,43.90,1.00,31.08,3766.90,,-1.43,,-1.92,2.40,11.01,299.57,14.58,
1964-10-01,3.85,,5.00,43.50,0.95,31.25,3780.20,,11.59,,-1.96,-1.10,-4.42,-25.32,-74.55,
1965-01-01,4.04,,4.70,49.50,0.70,31.31,3873.50,,4.94,,-6.00,10.18,-26.56,-33.55,628.57,
1965-04-01,4.04,,4.60,51.30,0.86,31.61,3926.40,,0.00,,-2.13,3.54,23.20,249.25,-45.10,
1965-07-01,4.01,,4.30,52.20,0.70,31.62,4006.20,,-0.74,,-6.52,1.83,-19.21,-43.28,50.00,
1965-10-01,4.32,,4.00,55.20,0.67,31.85,4100.60,,7.73,,-6.98,6.00,-4.15,-0.42,16.67,
1966-01-01,4.65,,3.80,56.70,0.49,32.18,4201.90,,7.64,,-5.00,2.83,-26.13,74.26,4.08,
1966-04-01,5.17,,3.80,57.00,0.39,32.38,4219.10,,11.18,,0.00,0.44,-20.64,56.00,-84.31,
1966-07-01,5.40,,3.70,56.70,0.24,32.75,4249.20,,4.45,,-2.63,-0.66,-39.55,-19.11,81.25,
1966-10-01,5.40,,3.80,55.70,0.37,32.92,4285.60,,0.00,,2.70,-1.77,57.30,-11.93,20.69,
1967-01-01,4.53,,3.80,53.30,0.41,33.00,4324.90,,-16.11,,0.00,-3.60,11.41,-87.60,5.71,
1967-04-01,3.98,,3.90,53.40,0.31,33.30,4328.70,,-12.14,,2.63,-0.23,-24.31,699.19,-91.89,
